product_name,hsncode,gst,MRP,saleprice,purchase price,sub_category,category,patanjali_cat,box_size,
AAROGYA BISCUITS(PK 100)-T,19053100,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
ABHRAK BHASM 10 G,30049011,12.00,25.00,18.60,NOTFORRETAIL,BHASM,JUICES & NATURAL BEVERAGES,FOOD,200,
ABHRAK BHASM 5 G,30049011,12.00,13.00,9.67,NOTFORRETAIL,BHASM,JUICES & NATURAL BEVERAGES,FOOD,200,
AGARBATTI - ALAKHNANDA,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - AMBER,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - JASMINE,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - KONARK,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - LAVENDER,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - MEDITATION,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - OUDH,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - ROSE,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - SANDAL,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - UTSAV,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - VANGANDHA,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - WHITE FLOWER,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AGARBATTI - YAJNA SUGANDHAM,33074100,5.00,20.00,16.93,16.09,AGARBATTI,HOME CARE,NON FOOD,192,
AJWAIN WITH ALOEVERA 100 G,30049011,12.00,46.00,34.23,32.41,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
ALMOND HAIR OIL 100 ML,33059019,18.00,50.00,37.66,35.57,HAIR OIL,NATURAL PERSONAL CARE,NON FOOD,96,
ALMOND-KESAR KANTI BODY CLEANSER 75 G,34011941,18.00,20.00,15.69,14.82,BATHING SOAP,HOME CARE,NON FOOD,144,
ALOEVERA APRICOAT SCRUB TUBE (60ML)  - T,34013090,18.00,60.00,45.20,42.68,SCRUB,NATURAL PERSONAL CARE,NON FOOD,96,
SAUNDARYA ALOEVERA GEL 150ML -T,34013090,18.00,80.00,60.26,56.91,ALOE VERA GEL,NATURAL PERSONAL CARE,NON FOOD,60,
SAUNDARYA ALOEVERA GEL 60ML -T,34013090,18.00,40.00,30.13,28.45,ALOE VERA GEL,NATURAL PERSONAL CARE,NON FOOD,96,
ALOEVERA JUICE 1 L (FIBRE),30049011,12.00,200.00,148.81,140.92,ALOEVERA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
ALOEVERA JUICE 1 L (ORANGE)-T,30049011,12.00,200.00,148.81,140.92,ALOEVERA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
ALOEVERA JUICE 1 L (PLAIN),30049011,12.00,180.00,133.93,126.83,ALOEVERA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
ALOEVERA JUICE FIBRE (ORANGE FLAV.) 1 L,30049011,12.00,200.00,148.81,140.92,ALOEVERA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
ALOEVERA KANTI BODY CLEANSER 75 G,34011941,18.00,15.00,11.77,11.11,BATHING SOAP,HOME CARE,NON FOOD,144,
ALOEVERA MINT FACE WASH 60 G -T,34013090,18.00,45.00,33.90,32.01,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
ALOEVERA MOISTURIZING CREAM 50 G,33049910,18.00,75.00,56.50,53.35,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,72,
AMLA ALOEVERA LITCHI 65 ML,30049011,12.00,5.00,3.97,3.76,LITCHI AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,80,
AMLA AMRIT 65 ML,30049011,12.00,5.00,3.97,3.76,AMLA AMRIT,JUICES & NATURAL BEVERAGES,FOOD,80,
AMLA CANDY 500 G,08112010,5.00,140.00,111.11,105.57,CANDY,BISCUIT & CONFFECTIONARY,FOOD,24,
AMLA CHATPATA CANDY 500 G,08112010,5.00,145.00,115.08,109.34,CANDY,BISCUIT & CONFFECTIONARY,FOOD,24,
AMLA HAIR OIL 100 ML,33059019,18.00,40.00,30.13,28.45,HAIR OIL,NATURAL PERSONAL CARE,NON FOOD,96,
AMLA JUICE 1 L,30049011,12.00,100.00,74.40,70.46,AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
AMLA JUICE 500 ML,30049011,12.00,55.00,40.92,38.75,AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,24,
AMLA KHATTI MEETHI CHUTNEY 500 G,20079940,12.00,55.00,43.65,41.34,CHUTNEY,BISCUIT & CONFFECTIONARY,FOOD,12,
AMLA MURABBA 1 KG,20071010,12.00,120.00,89.29,84.55,MURRABBA,BISCUIT & CONFFECTIONARY,FOOD,12,
AMLA PICKLE 1 KG,20019000,12.00,115.00,85.57,81.03,PICKLE,BISCUIT & CONFFECTIONARY,FOOD,12,
AMRIT RASAYAN 1 KG,30049011,12.00,175.00,130.21,123.30,AMRIT RASAYAN,JUICES & NATURAL BEVERAGES,FOOD,12,
AMRIT RASAYAN 500 G,30049011,12.00,90.00,66.96,63.41,AMRIT RASAYAN,JUICES & NATURAL BEVERAGES,FOOD,24,
ANARDANA CHURAN 100 G,30049011,12.00,35.00,26.04,24.66,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
ANARDANA GOLI 100 G,30049011,12.00,35.00,26.04,24.66,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
ANARDANA GOLI 50 G,30049011,12.00,22.00,16.37,15.50,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,200,
ANTI WRINKLE CREAM 50 G,33049910,18.00,150.00,112.99,106.70,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,96,
APPLE CHUTNEY 500 G,20079940,12.00,75.00,59.52,56.37,CHUTNEY,BISCUIT & CONFFECTIONARY,FOOD,12,
APPLE JUICE 1000 ML -T,22029020,12.00,85.00,65.42,61.96,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
APPLE JUICE 200 ML -T,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
APPLE MURABBA 1 KG,20071010,12.00,140.00,104.17,98.64,MURRABBA,BISCUIT & CONFFECTIONARY,FOOD,12,
AQUAFRESH BODY CLEANSER 75 G,34011941,18.00,24.00,18.83,17.78,BATHING SOAP,HOME CARE,NON FOOD,144,
ARJUN AMLA JUICE 500 ML,30049011,12.00,80.00,59.52,56.37,ARJUN AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
BASMATI RICE 5 KG(SILVER),10063020,5.00,470.00,406.93,390.52,RICE,RICE/PULSES/SPICES,FOOD,6,
AROGYA VATI 40 G,30049011,12.00,60.00,44.64,NOTFORRETAIL,VATI,JUICES & NATURAL BEVERAGES,FOOD,400,
ASHVASHILA -5G(STRIP),30049011,12.00,70.00,52.08,49.32,ASHVASHILA,JUICES & NATURAL BEVERAGES,FOOD,240,
ASWAGANDHA-5G(STRIP),30049011,12.00,50.00,37.20,35.23,ASWAGANDHA,JUICES & NATURAL BEVERAGES,FOOD,240,
BADAM PAK 250 G,30049011,12.00,130.00,96.73,91.60,BADAM PAK,JUICES & NATURAL BEVERAGES,FOOD,24,
BADAM PAK 500 G,30049011,12.00,250.00,186.01,176.15,BADAM PAK,JUICES & NATURAL BEVERAGES,FOOD,12,
BALM 25 G,30049011,12.00,40.00,29.76,28.18,BALM,NATURAL PERSONAL CARE,NON FOOD,160,
BANDHANI HING 10 G -T,13019013,5.00,20.00,16.93,16.09,HING,RICE/PULSES/SPICES,FOOD,300,
BANDHANI HING 25 G -T,13019013,5.00,40.00,33.86,32.17,HING,RICE/PULSES/SPICES,FOOD,120,
BARLEY DALIA 500 G,11031900,5.00,35.00,29.63,28.15,DALIA,FLOUR & SUGAR,FOOD,30,
BEAUTY CREAM 50 G,33049910,18.00,70.00,52.73,49.79,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,96,
BEL CANDY 500 G,08129010,5.00,140.00,111.11,105.57,CANDY,BISCUIT & CONFFECTIONARY,FOOD,24,
BEL MURABBA 1 KG,20071010,12.00,110.00,81.85,77.50,MURRABBA,BISCUIT & CONFFECTIONARY,FOOD,12,
BEL SHARBAT 750 ML,21069011,18.00,85.00,60.03,56.68,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
BESAN 500 G,11029000,5.00,65.00,56.28,53.47,BESAN,FLOUR & SUGAR,FOOD,20,
BLACK PEPPER POWDER 100 G,09109100,5.00,125.00,105.82,100.54,SPICES,RICE/PULSES/SPICES,FOOD,60,
BLACK PEPPER WHOLE 100 G,09109100,5.00,120.00,101.59,96.52,SPICES,RICE/PULSES/SPICES,FOOD,60,
BODY LOTION 100 ML,33049930,18.00,60.00,45.20,42.68,BODY LOTION,NATURAL PERSONAL CARE,NON FOOD,72,
BODY UBTAN 100 G,33019011,18.00,60.00,45.20,42.68,BODY UBTAN,NATURAL PERSONAL CARE,NON FOOD,60,
BOROSAFE ANTISEPTIC 50 GM CREAM,33049910,18.00,40.00,30.13,28.45,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,96,
BRAHMI SHARBAT 750 ML,21069011,18.00,100.00,70.62,66.69,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
CAROM SEED 100 G,09109914,5.00,38.00,32.17,30.56,SPICES,RICE/PULSES/SPICES,FOOD,60,
CARROT MURABBA 1 KG,20071010,12.00,125.00,93.01,88.07,MURRABBA,BISCUIT & CONFFECTIONARY,FOOD,12,
CHAAT MASALA 100 G,09109100,5.00,45.00,35.71,33.93,SPICES,RICE/PULSES/SPICES,FOOD,60,
CHHOLE MASALA 100 G,09109100,5.00,50.00,39.68,37.70,SPICES,RICE/PULSES/SPICES,FOOD,60,
CHHUHARA KHATTA - MEETHA 100 G,30049011,12.00,45.00,33.48,31.71,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
CHOCO DELITE BISCUITS 75 GM  -T,19053100,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
